id;name;annot_type;category_1;category_2;category_3
1;railings being crossed by horses;pres;interaction;;
2;a horse running or jumping;pres;action;;
3;equestrian rider's helmet;pres;spatial;;
4;outdoor dog led by rope;pres;interaction;;
5;a dog being touched;pres;interaction;;
6;clothed dog;pres;attribute;;
7;basketball in hand;pres;spatial;;
8;a basketball player with both feet off the ground;pres;appearance;spatial;
9;player with basketball in the hand;pres;interaction;;
10;spoon on the plate;pres;spatial;;
11;coffee cup with coffee;pres;attribute;;
12;the nearest dessert to the coffee cup;pres;spatial;;
13;the bartender who is mixing wine;pres;action;;
14;a bartender in a suit;pres;appearance;;
15;wine glass with wine;pres;attribute;;
16;a person in aprons;pres;attribute;;
17;pot with food;pres;attribute;;
18;a knife being used to cut vegetables;pres;interaction;;
19;striped sofa in the room;pres;attribute;;
20;a sofa with pillows on it in the room;pres;attribute;spatial;
21;lights on in the room;pres;state;spatial;
22;an indoor lying pet;pres;state;spatial;
23;a cat on the sofa;pres;spatial;;
24;one pet looking directly at the camera indoors;pres;action;spatial;
25;a bed with patterns in the room;pres;attribute;spatial;
26;the lamp on the table beside the bed;pres;spatial;;
27;pillow placed at the head of the bed;pres;spatial;;
28;a blackboard full of words in the classroom;pres;attribute;spatial;
29;a blackboard or whiteboard with something pasted;pres;attribute;;
30;child sitting at desks in the classroom;pres;action;spatial;
31;a person standing in front of bookshelves in the library;pres;action;spatial;
32;the table someone is using in the library;pres;interaction;spatial;
33;a person who touches books in the library;pres;interaction;spatial;
34;a person standing in front of the cake counter;pres;action;spatial;
35;a square plate full of cakes;pres;attribute;appearance;
36;a cake decorated with cream;pres;attribute;;
37;incomplete donut;pres;attribute;state;
38;donut with colored granules on the surface;pres;attribute;;
39;chocolate donut;pres;attribute;;
40;hot dog with vegetables;pres;attribute;;
41;hot dog with sauce on the surface;pres;attribute;;
42;red sausage;pres;attribute;;
43;flowerpot with flowers potted inside;pres;attribute;spatial;
44;monochrome flowerpot;pres;attribute;;
45;a flowerpot filled with black soil;pres;attribute;;
46;apple growing on trees;pres;action;spatial;
47;red complete apple;pres;attribute;state;
48;apple with a stalk;pres;attribute;;
49;a woman brushing her teeth;pres;action;;
50;toothbrush held by someone;pres;interaction;;
51;toilet brush with colored bristles;pres;attribute;;
52;a customer whose hair is being cut by barber;pres;interaction;;
53;a barber at work;pres;action;appearance;
54;cloth covering the barber;pres;spatial;;
55;a plastic toy;pres;attribute;;
56;a plush toy;pres;attribute;;
57;a humanoid toy;pres;attribute;;
58;shopping cart pushed by people in the supermarket;pres;interaction;spatial;
59;shopping cart with people in the supermarket;pres;interaction;spatial;
60;shopping cart full of goods;pres;attribute;state;
61;a child wearing a mask;pres;appearance;;
62;a mask on face with half a face exposed;pres;appearance;spatial;
63;a mask on face with only eyes exposed;pres;appearance;spatial;
64;refrigerator with fruit;pres;attribute;state;
65;a drink bottle in the refrigerator;pres;spatial;;
66;refrigerator with more than two doors;pres;attribute;;
67;a watch placed on a table or cloth;pres;spatial;;
68;a watch with three or more watch hands can be seen;pres;attribute;;
69;a watch with one or more small dials;pres;attribute;;
70;clothes hanger;pres;object;;
71;a piece of clothing hanging on the hanger;pres;spatial;;
72;a piece of clothing worn on plastic models;pres;spatial;;
73;leather bag with glossy surface;pres;appearance;attribute;
74;backpack;pres;object;;
75;open package;pres;state;attribute;
76;a fish held by people;pres;spatial;interaction;
77;a person who is fishing with a fishing rod;pres;action;interaction;
78;a fisherman standing on the shore with his body soaked in water;pres;appearance;action;spatial
79;camera hold on someone's shoulder;pres;spatial;interaction;
80;a person being interviewed;pres;interaction;;
81;a person with microphone hold in hand;pres;interaction;spatial;
82;one open oven;pres;state;attribute;
83;food in the oven;pres;spatial;;
84;oven integrated with cabinet;pres;spatial;;
85;a mask on the face of a doctor or nurse;pres;spatial;appearance;
86;a doctor or nurse wearing green surgical clothes;pres;appearance;attribute;
87;a person wearing surgical clothes and a mask;pres;appearance;attribute;
88;a dancing woman with her knees bare;pres;action;appearance;
89;man dancing;pres;action;;
90;skirt worn by a dancer;pres;attribute;interaction;
91;a person playing guitar on stage;pres;action;spatial;
92;a microphone stand used by people;pres;interaction;;
93;guitar carried by person on stage;pres;interaction;spatial;
94;glasses on the face of a person on the stage;pres;spatial;;
95;a microphone on the stage;pres;spatial;;
96;a person standing on the stage with open mouth;pres;spatial;action;
97;aircraft on the ground;pres;spatial;state;
98;aircraft in the air;pres;spatial;state;
99;a person standing next to the plane;pres;spatial;action;
100;cable car hanging in the air;pres;spatial;state;
101;a person standing on the edge of a funicular;pres;spatial;action;
102;carriage of funicular;pres;spatial;;
103;an animal under the command of human;pres;interaction;;
104;an animal on stage;pres;spatial;;
105;a person on the stage and in the air;pres;spatial;;
106;a person who embraces another person face to face;pres;action;interaction;
107;a person holding animals;pres;interaction;action;
108;an animal holding another animal;pres;interaction;action;
109;woman in wedding dress next to a man in suit;pres;appearance;spatial;
110;man in suit next to a woman in wedding dress;pres;appearance;spatial;
111;flowers in the hands of a woman in white skirt;pres;spatial;;
112;christmas tree full of decorations;pres;appearance;attribute;
113;a person wearing santa claus clothes;pres;appearance;;
114;bag carried by santa claus on the back or in the hand;pres;spatial;interaction;
115;a pen on written paper;pres;spatial;;
116;written paper;pres;object;;
117;a person sitting with a pen in his hand;pres;action;interaction;spatial
118;a person lying on the billiard table;pres;action;spatial;
119;a billiard club held in a person's hand;pres;interaction;spatial;
120;a billiard ball touched by a billiard stick;pres;interaction;;
121;a chess board surrounded by people;pres;spatial;interaction;
122;a person around the chessboard;pres;spatial;interaction;
123;chess piece of horse head;pres;appearance;;
124;computer in front of people at the conference table;pres;spatial;;
125;a person sitting at the conference table;pres;spatial;action;
126;white conference table;pres;attribute;;
127;flower ball on the hands of cheerleaders;pres;spatial;interaction;
128;the cheerleader who was lifted;pres;interaction;;
129;a person trampled by cheerleaders;pres;interaction;;
130;a baseball bat held in the hand;pres;spatial;interaction;
131;an oversized glove worn on the left hand of a baseball player;pres;attribute;spatial;interaction
132;a baseball player ready to bat;pres;state;action;
133;a person who attacks each other in football helmets;pres;interaction;appearance;
134;white football helmet;pres;attribute;spatial;
135;a person running in a football helmet;pres;action;appearance;
136;a running person in white stockings;pres;action;attribute;
137;an athlete wearing white stockings on the green field;pres;appearance;attribute;spatial
138;a soccer player with a soccer at his feet on the green field;pres;interaction;appearance;spatial
139;a tennis racket held by someone on the tennis court;pres;interaction;spatial;
140;a person who wears a hat and holds a tennis racket on the tennis court;pres;attribute;interaction;spatial
141;a person with tennis rackets and feet off the ground;pres;interaction;spatial;
142;a red table tennis racket held by someone;pres;attribute;interaction;
143;table tennis over the table;pres;action;spatial;
144;a person waving table tennis rackets at the table;pres;action;interaction;spatial
145;indoor volleyball flying in the air;pres;state;spatial;
146;the player who is ready to bat with both feet leaving the ground in the room;pres;state;spatial;interaction
147;indoor volleyball players with hands raised;pres;appearance;spatial;state
148;ski under the feet of a person;pres;spatial;interaction;
149;a person skiing;pres;action;;
150;a skier standing in the snow;pres;appearance;spatial;action
151;a person standing on the surfboard;pres;action;interaction;
152;a surfboard on the beach;pres;spatial;;
153;surfboard touched by human hands;pres;spatial;;
154;an upside-down gymnast;pres;state;appearance;
155;a gymnast who touches the bar;pres;appearance;interaction;
156;an athlete holding the rings with both hands;pres;appearance;interaction;
157;a smiling person on the swing;pres;spatial;action;
158;swing bench;pres;object;;
159;child on the swing;pres;spatial;;
160;a person jumping into the pool;pres;action;spatial;
161;a toy in the swimming pool;pres;spatial;;
162;a person who only shows the head in the pool;pres;spatial;attribute;
163;wild lioness;pres;object;;
164;a male lion with a mane;pres;attribute;;
165;a lion lying in the wild;pres;spatial;state;
166;parrot on human head;pres;spatial;interaction;
167;parrot eating;pres;action;spatial;
168;parrot on human shoulder;pres;spatial;interaction;
169;a camel with single hump;pres;attribute;;
170;camel with double humps;pres;attribute;;
171;a prone camel;pres;state;;
172;red-crowned crane with wings;pres;attribute;;
173;red-crowned crane standing on the ground;pres;attribute;spatial;action
174;red-crowned crane with head lower than body;pres;attribute;spatial;
175;a giant panda eating;pres;attribute;action;
176;a giant panda on its four feet;pres;attribute;state;
177;red panda on the stomach;pres;attribute;state;
178;an auto-salon girl leaning against the car;pres;appearance;action;spatial
179;car contacted by an auto-salon girl;pres;interaction;;
180;an auto-salon girl in a skirt;pres;appearance;;
181;lion dance coat;pres;object;;
182;person in the lion dance clothes;pres;appearance;;
183;an upright lion dance;pres;state;;
184;rock climber in short;pres;appearance;;
185;climber's helmet;pres;spatial;attribute;
186;bare-armed climber;pres;appearance;;
187;torch held by a person;pres;interaction;;
188;person holding a torch;pres;action;interaction;
189;burning torch;pres;state;;
190;a butterfly with flat wings;pres;attribute;state;
191;a butterfly resting on flowers;pres;action;spatial;
192;a butterfly with folded wings resting on a leaf;pres;attribute;action;spatial
193;airplane with a smoke trail for show;pres;attribute;;
194;the aircraft at the front of the multi-aircraft performance array;pres;spatial;;
195;a plane flying to the right;pres;action;spatial;
196;a dog with a frisbee in its mouth;pres;interaction;spatial;
197;person with frisbee;pres;interaction;;
198;frisbee in the air;pres;spatial;;
199;a golfer in a hat;pres;appearance;;
200;a person with golf clubs;pres;interaction;;
201;golf in the air;pres;spatial;;
202;a helicopter flying in the air;pres;action;spatial;
203;helicopter with door open;pres;state;;
204;helicopter viewed from the bottom;pres;spatial;;
205;a well on the ground with its cover open;pres;spatial;state;
206;well with cover on the ground;pres;attribute;spatial;
207;well cover with text on the ground;pres;attribute;spatial;
208;mailbox marked with numbers;pres;attribute;;
209;red mailbox;pres;attribute;;
210;green mailbox;pres;attribute;;
211;horned deer;pres;attribute;;
212;deer bowing to eat grass;pres;action;interaction;
213;running deer;pres;action;;
214;crouching kangaroo;pres;action;;
215;standing kangaroo;pres;action;;
216;a kangaroo that has physical contact with another kangaroo;pres;interaction;;
217;woodpecker on the side of the trunk;pres;spatial;;
218;woodpecker pecking;pres;action;;
219;a woodpecker with only its head exposed;pres;appearance;attribute;
220;flying eagle;pres;action;;
221;eagle standing on the branch;pres;action;spatial;
222;an eagle with a white head;pres;attribute;;
223;half-body dolphin on the water;pres;appearance;spatial;
224;a dolphin completely out of the water;pres;state;spatial;
225;a dolphin doing the same action as other dolphins;pres;interaction;;
226;a seal in the water;pres;spatial;;
227;a seal on the shore;pres;spatial;;
228;a seal facing up to the sky;pres;state;;
229;peacock with open screen;pres;state;;
230;fake peacock;pres;appearance;;
231;peacock standing on the grass;pres;action;spatial;
232;black swan with head facing back;pres;attribute;;
233;white swan in the water;pres;attribute;spatial;
234;flying swan;pres;action;;
235;hippo with open mouth in the water;pres;state;spatial;
236;hippo standing on the bank;pres;action;spatial;
237;hippo in potential water;pres;spatial;;
238;you can see the moon on the crater;pres;spatial;;
239;partially blocked moon;pres;attribute;;
240;a house illuminated by the moon;pres;attribute;;
241;a man in dark glasses;pres;attribute;;
242;a pair of sunglasses with eyes exposed on the face;pres;attribute;spatial;
243;a woman with dark glasses showing her eyes;pres;attribute;;
244;otter in water;pres;spatial;;
245;otter on the ground;pres;spatial;;
246;an otter with its face up to the sky;pres;state;;
247;the woman who is hitting the ball in beach volleyball;pres;interaction;spatial;
248;volleyball hit on the beach;pres;interaction;spatial;
249;volleyball players on the beach with their feet off the ground;pres;appearance;state;spatial
250;a person who buy things from the food truck on the street;pres;interaction;spatial;
251;a street food cart with an umbrella;pres;attribute;;
252;staff in the food truck on the street;pres;spatial;;
253;a person who plays music with musical instrument surrounded by spectators on the street;pres;action;interaction;spatial
254;a person performing acrobatics surrounded by street audience;pres;action;interaction;
255;a boxer wearing boxing gloves who is defending;pres;attribute;action;
256;an attacking boxer wearing boxing gloves;pres;attribute;action;
257;the referee presiding over the boxing match;pres;action;interaction;
258;a running dog pulling a sled;pres;action;interaction;
259;a sled pulled by a dog;pres;interaction;;
260;a person on dogsleds;pres;spatial;interaction;
261;an adult athlete with naked upper body in places with pools;pres;attribute;spatial;
262;water polo player with ball;pres;appearance;interaction;
263;the swimming cap on the head of a water polo player;pres;attribute;spatial;
264;barbell lifted above the head;pres;interaction;spatial;
265;barbell on the chest;pres;interaction;spatial;
266;a weightlifter with barbell below the lower body;pres;interaction;spatial;
267;the wooden sword in the hand of a kendo player;pres;attribute;interaction;
268;a fencing athlete wearing a helmet;pres;appearance;attribute;
269;a kendo player in battle with another person;pres;appearance;interaction;action
270;referee of taekwondo match;pres;appearance;;
271;a taekwondo athlete wearing helmets;pres;appearance;attribute;
272;a taekwondo athlete who is kicking;pres;action;appearance;
273;a kite for kite surfing;pres;object;;
274;a person who is surfing kites;pres;action;interaction;
275;surfboard in kite surfing;pres;spatial;;
276;partially damaged car;pres;attribute;;
277;a motorcycle lying on the ground;pres;state;spatial;
278;overturned car;pres;state;;
279;person covered with armor;pres;attribute;;
280;the headdress of coser wearing skirt;pres;attribute;appearance;
281;a bicycle worn by a helmet rider;pres;interaction;;
282;a cyclist wearing a helmet on a bicycle;pres;attribute;spatial;interaction
283;the goggles on the face of a cyclist wearing a helmet;pres;attribute;spatial;
284;the helmet on the head of the person on the slide;pres;attribute;spatial;
285;rope track of slide rope;pres;spatial;;
286;a pair of gloves on a person's hands on the slide;pres;spatial;;
287;a person who is doing yoga in sleeveless vests;pres;action;attribute;
288;woman stretching;pres;action;;
289;a person who sits with his feet folded on a yoga mat;pres;state;spatial;
290;a person squatting on the walking rope;pres;action;spatial;
291;a person who stands upright on the walking rope;pres;state;spatial;
292;a person standing on a rope with one foot;pres;state;spatial;
293;a person in open-top racing cars;pres;spatial;attribute;
294;motorcycle racing car running at a tilt;pres;action;attribute;
295;an open-top racing car;pres;attribute;;
296;blue stop sign with white letter p;pres;attribute;;
297;single parking space marked;pres;attribute;;
298;car in parking space;pres;spatial;;
299;diabolo on the rope;pres;spatial;interaction;
300;diabolo flying in the air;pres;action;;
301;a person playing diabolo;pres;interaction;action;
302;dart stuck on the target;pres;spatial;state;
303;a person with darts;pres;interaction;;
304;target with darts;pres;attribute;interaction;
305;a person who kneels down to propose to the opposite sex;pres;action;interaction;
306;the person who was proposed to on one knee;pres;interaction;;
307;the thing held by the person who proposed on one knee;pres;interaction;;
308;hot air balloon with words on it;pres;attribute;;
309;hot air balloon landing on the ground;pres;spatial;action;
310;fired hot air balloon;pres;attribute;state;
311;a sailboat;pres;object;;
312;a ship on the shore;pres;spatial;;
313;a boat with someone rowing on the water;pres;interaction;spatial;
314;origami that looks like a bird;pres;attribute;;
315;origami that looks like an animal;pres;attribute;;
316;origami that looks like flowers;abs;attribute;;
317;horseman without helmet;abs;absent attribute;appearance;
318;dog not led by ropes outside;abs;absent interaction;spatial;
319;basketball untouched;abs;absent interaction;;
320;dish without any spoons;abs;absent attribute;;
321;bartender without suit;abs;absent appearance;;
322;pot without food;abs;absent attribute;;
323;a sofa with no pillow on it in the room;abs;absent attribute;;
324;cat not looking directly at the camera in the room;abs;negated action;spatial;
325;a bed without patterns on it;abs;absent attribute;;
326;a blackboard or whiteboard without any words in the classroom;abs;absent attribute;;
327;a bookshelf without people around;abs;absent interaction;;
328;a cake without cream on the surface;abs;absent attribute;;
329;doughnut with no colored particles on the surface;abs;absent attribute;;
330;vegetable-free hot dog;abs;absent attribute;;
331;a flowerpot without flowers;abs;absent attribute;;
332;incomplete apple;abs;attribute;state;
333;toothbrush not in people's hands;abs;absent interaction;;
334;a chair where no one is sitting in the barber shop;abs;state;absent interaction;
335;a toy other than human toys;abs;attribute;;
336;empty shopping cart in the supermarket;abs;attribute;;
337;non-human mask;abs;attribute;;
338;an unopened refrigerator;abs;state;;
339;a watch not on human wrists;abs;absent interaction;;
340;hanger without clothes;abs;attribute;;
341;non-shoulder bag without human body;abs;attribute;absent interaction;
342;a fisher who stands on the shore and whose lower body is not submerged by water;abs;spatial;negated spatial;
343;a camera that no one holds;abs;absent interaction;;
344;an unopened oven;abs;state;;
345;a doctor or nurse wearing non-green clothes;abs;appearance;attribute;
346;a dancing woman with no knees exposed;abs;action;absent attribute;
347;unused microphone stand on stage;abs;absent interaction;spatial;
348;a person who stands on the stage for speech but don't open their mouths;abs;spatial;negated action;
349;aircraft not on the ground;abs;spatial;;
350;a cable car without people inside;abs;absent interaction;;
351;a person who didn't land or touch anything on the stage;abs;spatial;absent interaction;
352;a person who hugs another person but doesn't touch his face;abs;absent interaction;interaction;
353;a woman in white wedding dress not beside any men in suits;abs;appearance;negated spatial;
354;a person in santa claus clothes without bags;abs;appearance;absent interaction;
355;a person with a pen in one hand but not looking at the paper;abs;interaction;negated action;
356;a billiard ball with no numbers or patterns on its surface on the table;abs;absent attribute;spatial;
357;an unoccupied chessboard;abs;absent interaction;;
358;a person at the conference table who is not seated;abs;spatial;negated action;
359;a person in cheerleading clothes who is not held in the air;abs;attribute;spatial;
360;a baseball player without a cap on his head;abs;attribute;negated spatial;
361;a person wearing football helmets but not running;abs;attribute;action;
362;athlete wearing non-white stockings on the green field;abs;attribute;negated action;
363;a person with a tennis racket and no feet left the ground;abs;interaction;negated spatial;
364;a person standing at the table of table tennis who is not waving table tennis rackets;abs;negated action;interaction;spatial
365;indoor volleyball not touched by hands;abs;absent interaction;spatial;
366;a person who is not standing upright on the ski resort;abs;negated action;spatial;
367;surfboard not on the beach;abs;negated spatial;;
368;a gymnast who is not touching anything in the air;abs;negated interaction;spatial;
369;an empty swing bench;abs;attribute;;
370;an empty swimming pool;abs;attribute;;
371;a male lion who is not lying;abs;negated action;;
372;parrot not on human body;abs;negated spatial;;
373;camel not lying on the ground;abs;negated action;;
374;red-crowned crane not standing on the ground;abs;attribute;negated action;
375;giant panda without all four feet on the ground;abs;attribute;negated action;
376;an auto-salon girl without bare waist;abs;absent attribute;;
377;a lion dance that is not upright;abs;negated state;;
378;a rock climber without helmet;abs;absent attribute;;
379;non-burning torch;abs;attribute;;
380;a butterfly that doesn't stop on flowers;abs;absent interaction;spatial;
381;aircraft flying in the air without smoke trail;abs;spatial;absent attribute;
382;frisbee not held by anyone;abs;absent interaction;;
383;golf ball not in the air;abs;negated spatial;;
384;helicopter not flying in the air;abs;negated spatial;negated action;
385;well cover without words on the surface;abs;absent attribute;;
386;mailbox not marked with numbers;abs;absent attribute;;
387;a deer without antlers;abs;absent attribute;;
388;kangaroo not standing;abs;negated action;state;
389;woodpecker not on the side of the trunk;abs;negated spatial;;
390;an eagle without wings;abs;absent attribute;;
391;a dolphin whose head is not above the water;abs;negated spatial;;
392;a seal not in the water;abs;negated spatial;;
393;a peacock who is not opening the screen;abs;negated action;state;
394;swan not in the water;abs;negated spatial;;
395;hippo whose mouth are not open;abs;negated action;;
396;the moon that does not appear completely round;abs;attribute;;
397;a person whose eyes are invisible in sunglasses;abs;absent attribute;;
398;otter not in the water;abs;negated spatial;;
399;volleyball in the middle of the air untouched on the beach;abs;spatial;absent interaction;
400;a street food truck without an umbrella;abs;absent attribute;;
401;a street performer without audience;abs;appearance;absent interaction;
402;a person not wearing boxing gloves on the stage;abs;absent attribute;spatial;
403;a sled dog that is not running;abs;negated action;;
404;a water polo player who is in the water but does not hold the ball;abs;spatial;absent interaction;
405;a barbell held by a weightlifter that has not been lifted above the head;abs;negated spatial;action;
406;a kendo athlete without helmet;abs;absent attribute;;
407;a taekwondo athlete who is not kicking with their feets;abs;appearance;negated action;
408;kite surfer who didn't touch the water;abs;appearance;absent interaction;
409;a door that is not damaged on the damaged car;abs;spatial;absent attribute;
410;a girl with black hair and anime clothes;abs;attribute;;
411;a helmeted cyclist without companions in the race;abs;attribute;absent interaction;
412;a person who wears a helmet and sling equipment but is not on the sling;abs;attribute;negated spatial;
413;a person on the yoga mat who is not meditating;abs;spatial;negated action;
414;a person who doesn't touch the rope with both feet;abs;absent interaction;;
415;non-convertible racing car;abs;attribute;;
416;stop sign with white letters on a blue background;abs;attribute;;
417;a diabolo not being played with rope;abs;absent interaction;;
418;a dart that doesn't stick to the target;abs;absent interaction;;
419;person who kneels on one knee and proposes but has nothing in his hand;abs;action;absent interaction;
420;hot air balloon without ignition;abs;absent attribute;;
421;a boat that needs manual rowing but no one;abs;absent interaction;;
422;origami unlike birds;abs;absent attribute;;