text,category,justification
236: hippo standing on the bank,Animal Pose,The hippo’s position on the “bank” indicates a land-based location near the water.
237: hippo in potential water,Animal Location,"The phrasing “potential water” suggests the hippo is near, but not fully submerged."
238: you can see the moon on the crater,Celestial Object,The sentence describes the observation of the moon in a specific location (a crater).
239: partially blocked moon,Celestial Object,The phrase “partially blocked” indicates a visible obstruction of the moon.
238: a house illuminated by the moon,Lighting Effect,The description highlights the effect of moonlight on a building.
241: a man in dark glasses,People with eyewear,"This describes a person wearing sunglasses, a common form of eye protection."
242: a pair of sunglasses with eyes exposed on the face,Eyewear,This explicitly details a pair of sunglasses and their positioning on a face.
243: a woman with dark glasses showing her eyes,People with eyewear,"Similar to 241 and 242, it highlights a person wearing dark glasses."
244: otter in water,Animals – Aquatic,This identifies an otter as an animal inhabiting a water environment.
245: otter on the ground,Animals – Terrestrial,"This describes an otter located on land, contrasting with the aquatic otter."
246: an otter with its face up to the sky,Animals – Aquatic,"Again, an otter, but with a specific posture suggesting interaction with the environment."
247: the woman who is hitting the ball in beach volleyball,Human Activity – Sports,This describes a specific action – hitting a ball – within a sporting context.
248: volleyball hit on the beach,Human Activity – Sports,This is a descriptive term for the act of hitting the volleyball on a beach.
249: volleyball players on the beach with their feet off the ground,Human Activity – Sports,This describes a specific action within a beach volleyball game.
250: a person who buy things from the food truck on the street,Human Activity – Commerce,This identifies a person engaging in a commercial transaction at a food truck.
251: a street food cart with an umbrella,Human Activity – Commerce,This describes a mobile food vendor and its associated equipment.
252: staff in the food truck on the street,Human Activity – Commerce,This refers to the individuals working within the food truck operation.
253: a person who plays music with musical instrument surrounded by spectators on the street,Human Activity – Entertainment,This depicts a musician performing for an audience on a street.
254: a person performing acrobatics surrounded by street audience,Human Activity – Entertainment,"This describes a performer engaging in acrobatic feats, with a surrounding audience."
255: a boxer wearing boxing gloves who is defending,Human Activity – Sport,This identifies a boxer engaged in the defensive action within a boxing match.
256: an attacking boxer wearing boxing gloves,Combat Sports,"Represents a direct, aggressive sporting activity involving physical confrontation."
257: the referee presiding over the boxing match,Sports Officials,Depicts the authority figure overseeing a competitive sporting event.
258: a running dog pulling a sled,Winter Sports,Shows a recreational activity utilizing dogs for transportation and competition in snowy conditions.
259: a sled pulled by a dog,Winter Sports,"Mirrors 258, emphasizing the dog’s role as a vehicle-pulling animal in winter sports."
260: a person on dogsleds,Winter Sports,"Presents a more complete image of the activity, focusing on the participant."
261: an adult athlete with naked upper body in places with pools,Water Sports,"Represents a competitive swimming event, highlighting the athletes' exposure to the water."
262: water polo player with ball,Water Sports,Illustrates a core element of water polo – a player holding and maneuvering the ball.
263: the swimming cap on the head of a water polo player,Water Sports,Details a specific piece of equipment used in water polo to enhance performance and visibility.
264: barbell lifted above the head,Strength Training,"Symbolizes a key movement in weightlifting, showcasing the athlete’s power and technique."
265: barbell on the chest,Strength Training,"Depicts another standard pose in weightlifting, focused on stability and force generation."
266: a weightlifter with barbell below the lower body,Strength Training,Shows a specific technique used in weightlifting to balance and prepare for a lift.
267: the wooden sword in the hand of a kendo player,Martial Arts,Represents a fundamental weapon used in the Japanese martial art of kendo.
268: a fencing athlete wearing a helmet,Combat Sports,Highlights the protective equipment necessary for a combat sport like fencing.
269: a kendo player in battle with another person,Martial Arts,"Visualizes the combative aspect of kendo, showing a duel between two practitioners."
270: referee of taekwondo match,Sports Officials,Indicates a presiding official within a competitive taekwondo event.
271: a taekwondo athlete wearing helmets,Sports/Martial Arts,Depicts an athlete engaged in a sport requiring protective headgear.
272: a taekwondo athlete who is kicking,Sports/Martial Arts,"Illustrates a specific action within taekwondo, highlighting movement and technique."
273: a kite for kite surfing,Water Sports,Represents a key piece of equipment used in the sport of kite surfing.
274: a person who is surfing kites,Water Sports,Shows individuals participating in the activity of kite surfing.
275: surfboard in kite surfing,Water Sports,"Indicates the presence of a surfboard, an essential element of kite surfing."
276: partially damaged car,Accidents/Vehicles,Represents a vehicle involved in an accident or collision.
277: a motorcycle lying on the ground,Accidents/Vehicles,Displays a vehicle that has suffered damage and is in an overturned position.
278: overturned car,Accidents/Vehicles,"Demonstrates a vehicle that has been flipped over, signifying an accident."
279: person covered with armor,Historical/Military,"Represents someone wearing protective armor, evoking a historical or military context."
280: the headdress of coser wearing skirt,Costumes/Fashion,"Displays a decorative headpiece, typically associated with cosplay or costume wear."
281: a bicycle worn by a helmet rider,Transportation/Safety,"Shows a bicycle with a helmet, emphasizing safety precautions for cycling."
282: a cyclist wearing a helmet on a bicycle,Transportation/Safety,"Highlights a cyclist wearing a helmet, focusing on safety and personal protection."
283: the goggles on the face of a cyclist wearing a helmet,Transportation/Safety,"Indicates protective eyewear worn by a cyclist, commonly used for safety."
284: the helmet on the head of the person on the slide,Recreation/Safety,"Depicts a helmet worn by someone using a slide, prioritizing safety during play."
285: rope track of slide rope,Recreation/Safety,"Shows the support structure of a slide, emphasizing its construction and function."
286: a pair of gloves on a persons hands on the slide,Yoga/Fitness,"The image depicts someone engaged in a physical activity, specifically on a slide, suggesting a focus on movement and body positioning."
287: a person who is doing yoga in sleeveless vests,Yoga/Fitness,"The image clearly shows an individual performing yoga poses, emphasizing the clothing worn during this activity."
288: woman stretching,Yoga/Fitness,"The text describes a woman engaged in a stretching exercise, a core component of yoga and fitness."
289: a person who sits with his feet folded on a yoga mat,Yoga/Fitness,The description focuses on a specific yoga posture – seated with feet folded – indicating a practice related to yoga.
290: a person squatting on the walking rope,Fitness/Exercise,"The image portrays a person performing a squatting exercise, often used in fitness routines, and utilizing a rope."
291: a person who stands upright on the walking rope,Fitness/Exercise,"The text describes an upright posture on a rope, indicating a stability-based exercise or training activity."
292: a person standing on a rope with one foot,Fitness/Exercise,"The image shows an individual balancing on a rope with one foot, highlighting a skill-based fitness activity."
293: a person in opentop racing cars,Motorsport,"The description details individuals within open-top racing vehicles, placing it squarely within the context of motorsports."
294: motorcycle racing car running at a tilt,Motorsport,"The image depicts a racing car at an angle, typical of motorsport photography highlighting speed and dynamics."
295: an opentop racing car,Motorsport,"The text simply describes an open-top racing car, directly relating to the motorsport category."
296: blue stop sign with white letter p,Traffic/Safety,"The image represents a standard traffic sign, categorizing it as a symbol of road safety and regulation."
297: single parking space marked,Infrastructure/Parking,"This describes a specific area designated for parking, belonging to the category of infrastructure and parking."
298: car in parking space,Infrastructure/Parking,"The image shows a vehicle occupying a designated parking space, fitting into the parking infrastructure category."
299: diabolo on the rope,Recreation/Skill,The image of a diabolo on a rope illustrates a specific skill-based recreational activity.
300: diabolo flying in the air,Recreation/Skill,"This describes a diabolo in motion, further emphasizing the skill and performance aspect of the activity."
301: a person playing diabolo,Sports & Recreation,Depicts an activity involving a specific skill and equipment.
302: dart stuck on the target,Sports & Recreation,"Shows a finished result of a darts game, highlighting accuracy."
303: a person with darts,Sports & Recreation,"Illustrates a person involved in a darts game, focusing on the player."
304: target with darts,Sports & Recreation,Represents the objective and the process of playing darts.
305: a person who kneels down to propose to the opposite sex,Social & Relationships,Captures a romantic gesture involving a specific pose and intention.
306: the person who was proposed to on one knee,Social & Relationships,"Shows the recipient of the romantic proposal, emphasizing the context of the event."
307: the thing held by the person who proposed on one knee,Social & Relationships,Represents the object of the proposal – typically a ring.
308: hot air balloon with words on it,Transportation,Illustrates a mode of transport with visual messaging.
309: hot air balloon landing on the ground,Transportation,"Shows the conclusion of a hot air balloon’s flight, focusing on a specific landing event."
310: fired hot air balloon,Transportation,Depicts a failure or dramatic event involving a hot air balloon.
311: a sailboat,Transportation,"Represents a vessel used for sailing, showcasing maritime transport."
312: a ship on the shore,Transportation,"Illustrates a vessel in a stationary location, representing seafaring and port activity."
313: a boat with someone rowing on the water,Transportation,"Shows a small vessel propelled by human effort, representing boating activity."
314: origami that looks like a bird,Art & Craft,Displays a handcrafted object replicating a specific animal form.
315: origami that looks like an animal,Art & Craft,"Represents a crafted item symbolizing a specific animal, highlighting the artistic skill."
316: origami that looks like flowers,Abstract Art/Sculpture,"The image depicts a three-dimensional representation of flowers, a distinct artistic form."
317: horseman without helmet,Still Life/Object Study,"The image focuses on a solitary horseman, devoid of protective gear, presenting a static, object-based scene."
318: dog not led by ropes outside,Still Life/Object Study,"This image showcases a dog in a setting without a handler or guiding rope, emphasizing a simple object arrangement."
319: basketball untouched,Still Life/Object Study,"The image presents a basketball in isolation, highlighting its form and texture without any action or context."
320: dish without any spoons,Still Life/Object Study,"The image presents a dish and cutlery without the expected spoon, creating a minimalist and slightly unsettling composition."
321: bartender without suit,Still Life/Object Study,"The image depicts a bartender in a setting without a formal suit, simplifying the scene and focusing on the individual."
322: pot without food,Still Life/Object Study,"This image shows a pot without any contents, highlighting its form and texture in an empty state."
323: a sofa with no pillow on it in the room,Still Life/Object Study,"The image presents a sofa and its lack of a pillow, creating a simple, object-based composition within a room."
324: cat not looking directly at the camera in the room,Still Life/Object Study,"The cat is positioned in a room, but avoids direct eye contact with the camera, forming a static scene."
325: a bed without patterns on it,Still Life/Object Study,"The image showcases a bed lacking any decorative patterns, presenting a basic form of furniture."
326: a blackboard or whiteboard without any words in the classroom,Still Life/Object Study,"The image presents a blackboard or whiteboard without any written content, focusing on its surface."
327: a bookshelf without people around,Still Life/Object Study,"The image features a bookshelf devoid of any individuals, generating a quiet and empty composition."
328: a cake without cream on the surface,Still Life/Object Study,"The image depicts a cake without cream, highlighting its form and texture in an unadorned state."
329: doughnut with no colored particles on the surface,Still Life/Object Study,"The image focuses on a doughnut with no decorative sprinkles or coloring, showcasing its basic form."
330: vegetablefree hot dog,Still Life/Object Study,"The image shows a hot dog with no visible toppings, presenting a simple food item in isolation."
331: a flowerpot without flowers,Absence of Primary Object,The scene depicts an object (flowerpot) intended for a specific purpose (containing flowers) but lacking its key element.
332: incomplete apple,Partial Object,"The image focuses on a single, unfinished item (apple), highlighting its incomplete state."
333: toothbrush not in peoples hands,Object Out of Context,"The toothbrush is presented in a setting where it doesn't belong, signifying it’s misplaced or unused."
334: a chair where no one is sitting in the barber shop,Object in Vacant Setting,The scene showcases an object (chair) within a specific environment (barber shop) but devoid of its intended use (a person sitting).
335: a toy other than human toys,Alternative Object Category,This refers to a toy that doesn't relate to human figures or representations.
336: empty shopping cart in the supermarket,Vacant Vehicle,"The image depicts a shopping cart, an object designed for carrying goods, without any items inside."
337: nonhuman mask,Altered Object Representation,"The image features a mask, a representation of a face, but not a human one."
338: an unopened refrigerator,Unused Appliance,"This represents a refrigerator, an appliance, yet inactive and without contents."
339: a watch not on human wrists,Object Out of Context,"The watch is presented in a setting where it doesn't belong, implying it's detached and unused."
340: hanger without clothes,Vacant Supporting Structure,"This depicts a hanger, an object designed to hold garments, but empty and lacking any clothing."
341: nonshoulder bag without human body,Alternative Accessory,The image represents a bag (shoulder bag) without a person to wear it.
342: a fisher who stands on the shore and whose lower body is not submerged by water,Partial Human Representation,"The image presents a human-like figure (fisher) but with a significant portion missing, creating an incomplete representation."
343: a camera that no one holds,Object Out of Context,"The camera is presented in a setting where it doesn't belong, implying it's unused or abandoned."
344: an unopened oven,Unused Appliance,"This represents an oven, an appliance, yet inactive and without contents."
345: a doctor or nurse wearing nongreen clothes,Altered Professional Attire,The image depicts medical professionals (doctor or nurse) with clothing that deviates from their typical attire.
346: a dancing woman with no knees exposed,Human Activity/Pose,"Depicts a specific human action and body position, focusing on movement and anatomical detail."
347: unused microphone stand on stage,Stage Equipment,Represents a piece of stage equipment that is present but not in use.
348: a person who stands on the stage for speech but dont open their mouths,Human Activity/Pose,"Illustrates a human in a static pose, emphasizing a non-verbal action – speaking without opening their mouth."
349: aircraft not on the ground,Transportation/Environment,"Shows an aircraft in flight, distinct from its typical ground-based context."
350: a cable car without people inside,Transportation/Environment,"Represents a mode of transport in an empty state, highlighting the vehicle itself rather than its passengers."
351: a person who didnt land or touch anything on the stage,Human Activity/Pose,"Depicts a human in a stationary pose, signifying a lack of interaction with the stage."
352: a person who hugs another person but doesnt touch his face,Human Activity/Pose,Illustrates a human action - hugging - but with a key detail: the avoidance of facial contact.
353: a woman in white wedding dress not beside any men in suits,Social Event/Group,Represents a specific type of event (wedding) and the arrangement of people within that context.
354: a person in santa claus clothes without bags,Costume/Character,Shows a character in a costume but lacking the expected accessory (the bag).
355: a person with a pen in one hand but not looking at the paper,Human Activity/Pose,Illustrates a human holding a writing implement but not engaged in the act of writing.
356: a billiard ball with no numbers or patterns on its surface on the table,Object/Game Equipment,Represents a component of a game (billiards) devoid of its usual markings.
357: an unoccupied chessboard,Object/Game Equipment,"Shows a game component (chessboard) without players or pieces, emphasizing its structure."
358: a person at the conference table who is not seated,Human Activity/Pose,"Depicts a person at a table but without being seated, highlighting a static, unusual pose."
359: a person in cheerleading clothes who is not held in the air,Human Activity/Pose,Illustrates a person in a specific uniform but without being elevated or supported in a typical cheerleading pose.
360: a baseball player without a cap on his head,Human Activity/Pose/Equipment,Shows a baseball player wearing the uniform but lacking a standard piece of equipment (the cap).
361: a person wearing football helmets but not running,Movement Restriction,The image depicts a person in athletic gear but not engaging in the typical running action associated with football.
362: athlete wearing nonwhite stockings on the green field,Unusual Attire,"The image highlights a deviation from standard athletic attire, specifically non-white stockings, within a sporting context."
363: a person with a tennis racket and no feet left the ground,Action Restriction,The image focuses on a tennis player who is unable to perform the fundamental action of hitting a ball with a racket.
364: a person standing at the table of table tennis who is not waving table tennis rackets,Action Restriction,This image depicts a table tennis player who is not actively participating in the game’s typical movements.
365: indoor volleyball not touched by hands,Action Restriction,The image focuses on a volleyball game where the ball isn't being interacted with by players’ hands.
366: a person who is not standing upright on the ski resort,Posture Restriction,"The image illustrates a person in an abnormal and unstable posture on a ski resort, deviating from upright standing."
367: surfboard not on the beach,Location Restriction,The image depicts a surfboard in an unusual location away from its typical environment – the beach.
368: a gymnast who is not touching anything in the air,Action Restriction,The image depicts a gymnast failing to execute a standard aerial movement or interaction within the sport.
369: an empty swing bench,Absence of Activity,The image showcases an object (swing bench) that is unoccupied and indicates the lack of a specific activity.
370: an empty swimming pool,Absence of Activity,"The image presents an empty swimming pool, signifying the absence of someone swimming."
371: a male lion who is not lying,Posture Restriction,"The image depicts a lion in an atypical posture, failing to exhibit the usual lying position."
372: parrot not on human body,Location Restriction,"The image shows a parrot in an unusual location, not situated on a human body as is often depicted."
373: camel not lying on the ground,Posture Restriction,"The image displays a camel in a non-traditional posture, differing from the typical lying position."
374: redcrowned crane not standing on the ground,Posture Restriction,The image presents a crane failing to exhibit the expected upright stance.
375: giant panda without all four feet on the ground,Posture Restriction,"The image depicts a giant panda in an unusual posture, failing to maintain all four feet on the ground."
376: an autosalon girl without bare waist,Absence of Explicit Detail,The description specifically excludes a common element (bare waist) typically associated with the scene.
377: a lion dance that is not upright,Deviation from Norm,The phrase “not upright” indicates a departure from the standard posture of a lion dance.
378: a rock climber without helmet,Absence of Protective Gear,The exclusion of a helmet highlights a lack of typical safety equipment for rock climbing.
379: nonburning torch,Absence of Action,"“Nonburning” describes the state of the torch, rather than an action or characteristic."
380: a butterfly that doesnt stop on flowers,Deviation from Behavior,The description negates the usual behavior of a butterfly landing on flowers.
381: aircraft flying in the air without smoke trail,Absence of Expected Feature,The lack of a smoke trail is an unusual characteristic for an aircraft in flight.
382: frisbee not held by anyone,Absence of Human Interaction,The phrase “not held by anyone” removes the element of a person interacting with the frisbee.
383: golf ball not in the air,Absence of Movement,"The description focuses on the ball’s lack of position in the air, rather than its motion."
384: helicopter not flying in the air,Absence of Flight,“Not flying in the air” explicitly denies the typical action of a helicopter.
385: well cover without words on the surface,Absence of Communication,"The phrase denotes the lack of written communication, contradicting a standard visual element."
386: mailbox not marked with numbers,Absence of Identification,"The description removes a standard feature of a mailbox, preventing identification."
387: a deer without antlers,Absence of Biological Feature,"The description specifies the absence of antlers, a key characteristic of a deer."
388: kangaroo not standing,Deviation from Posture,The phrase “not standing” indicates a departure from the typical posture of a kangaroo.
389: woodpecker not on the side of the trunk,Deviation from Location,The description specifies the absence of the woodpecker’s typical location.
390: an eagle without wings,Absence of Biological Feature,The description specifies the absence of a key characteristic of an eagle.
391: a dolphin whose head is not above the water,Absence of typical behavior,The expression describes a dolphin deviating from its natural behavior of surfacing.
392: a seal not in the water,Absence of typical behavior,The expression describes a seal deviating from its natural behavior of being in the water.
393: a peacock who is not opening the screen,Absence of typical behavior,The expression describes a peacock deviating from its natural behavior of displaying its plumage.
394: swan not in the water,Absence of typical behavior,The expression describes a swan deviating from its natural behavior of being in the water.
395: hippo whose mouth are not open,Absence of typical behavior,The expression describes a hippo deviating from its natural behavior of opening its mouth.
396: the moon that does not appear completely round,Imperfect representation,The expression describes the moon in a state other than its typical circular appearance.
397: a person whose eyes are invisible in sunglasses,Obscured features,The expression describes a person with features deliberately hidden by sunglasses.
398: otter not in the water,Absence of typical behavior,The expression describes an otter deviating from its natural behavior of being in the water.
399: volleyball in the middle of the air untouched on the beach,Object in an atypical location/state,The expression describes a volleyball in a position and state that is not its typical one on a beach.
400: a street food truck without an umbrella,Lack of protective equipment,The expression describes a food truck lacking a common protective feature.
401: a street performer without audience,Lack of interaction,The expression describes a performer without the usual element of an audience.
402: a person not wearing boxing gloves on the stage,Lack of protective equipment,The expression describes a person not wearing protective equipment for a specific activity.
403: a sled dog that is not running,Lack of typical movement,The expression describes a dog deviating from its natural behavior of running.
404: a water polo player who is in the water but does not hold the ball,Object in an atypical state,The expression describes a player and ball in a state that is not their typical one in water polo.
405: a barbell held by a weightlifter that has not been lifted above the head,Object in an atypical state,The expression describes a weightlifter and bar in a state that is not their typical one in weightlifting.
406: a kendo athlete without helmet,Absence of Protective Gear,"The image depicts a kendo athlete without the customary helmet, highlighting a lack of protective equipment."
407: a taekwondo athlete who is not kicking with their feets,Incorrect Technique,The image shows a taekwondo athlete performing a movement that deviates from the standard kicking technique using feet.
408: kite surfer who didnt touch the water,Absence of Interaction with Environment,"The image portrays a kite surfer who doesn't interact with the water, a key element of the sport."
409: a door that is not damaged on the damaged car,Disconnected Element,"The image presents a door on a damaged car, demonstrating an incongruous element or anomaly."
410: a girl with black hair and anime clothes,Stylistic Anomaly,"The image contains a girl wearing anime-style clothing, indicating a deviation from a typical appearance."
411: a helmeted cyclist without companions in the race,Absence of Contextual Elements,"The image shows a cyclist with a helmet but without any racing companions, creating a sense of isolation."
412: a person who wears a helmet and sling equipment but is not on the sling,Absence of Use,"The person is equipped with helmet and sling equipment but isn’t using them, suggesting a lack of action."
413: a person on the yoga mat who is not meditating,Absence of Activity,"The image depicts someone on a yoga mat without engaging in the meditative practice, illustrating a lack of activity."
414: a person who doesnt touch the rope with both feet,Incorrect Technique,"The image shows someone performing a climbing activity without the correct foot placement, representing an incorrect technique."
415: nonconvertible racing car,Mechanical Anomaly,"The image shows a racing car that is not convertible, demonstrating a discrepancy in design or functionality."
416: stop sign with white letters on a blue background,Standard Sign,"The image depicts a standard stop sign, representing a universally recognized traffic control device."
417: a diabolo not being played with rope,Absence of Activity,"The image shows a diabolo without being played with a rope, illustrating the absence of the necessary component for the activity."
418: a dart that doesnt stick to the target,Missed Target,"The image displays a dart that fails to hit the intended target, highlighting a lack of accuracy."
419: person who kneels on one knee and proposes but has nothing in his hand,Absence of Ritual Element,"The image portrays a proposal gesture without the traditional ring, indicating a missing element of the ritual."
420: hot air balloon without ignition,Absence of Function,"The image shows a hot air balloon without the ignition system, signifying a lack of operational capability."
421: a boat that needs manual rowing but no one,Abandoned Objects,"The description highlights an object – a boat – that is still present but unused, suggesting a state of disuse and neglect."
422: origami unlike birds,Abstract Art,"Origami, particularly the specific mention of it being ""unlike birds,"" signifies a departure from naturalistic representation and leans toward a constructed, geometric form."
